dataset,trees,max_depth,min_samples,mtry,mean_test_acc,std_test_acc,min_test_acc,mean_train_acc,mean_train_s
breast-cancer,200,10,5,8,0.97542,0.01403501335945214,0.9561,0.99956,0.0363744
breast-cancer,200,10,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.9991199999999999,0.047387200000000004
breast-cancer,200,10,5,15,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.06523140000000001
breast-cancer,200,14,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0146194
breast-cancer,200,14,2,5,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.022239199999999997
breast-cancer,200,14,2,8,0.97018,0.011936900770300513,0.9561,1.0,0.035341
breast-cancer,200,14,2,11,0.9771799999999999,0.013127893966665029,0.9561,1.0,0.0473646
breast-cancer,200,14,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0635346
breast-cancer,200,14,5,3,0.9719200000000001,0.012903394902117829,0.9561,0.99956,0.014005
breast-cancer,200,14,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.021707999999999998
breast-cancer,200,14,5,8,0.97542,0.01403501335945214,0.9561,0.99956,0.035093400000000004
breast-cancer,200,14,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.9991199999999999,0.0474356
breast-cancer,200,14,5,15,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.06693
breast-cancer,200,20,2,3,0.9736800000000001,0.0110996216151723,0.9649,1.0,0.0153076
breast-cancer,200,20,2,5,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0219958
breast-cancer,200,20,2,8,0.97018,0.011936900770300513,0.9561,1.0,0.036897400000000004
breast-cancer,200,20,2,11,0.9771799999999999,0.013127893966665029,0.9561,1.0,0.045965400000000003
breast-cancer,200,20,2,15,0.9719200000000001,0.014052530021316467,0.9561,1.0,0.0601422
breast-cancer,200,20,5,3,0.9719200000000001,0.012903394902117829,0.9561,0.99956,0.0138382
breast-cancer,200,20,5,5,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.0209926
breast-cancer,200,20,5,8,0.97542,0.01403501335945214,0.9561,0.99956,0.035029
breast-cancer,200,20,5,11,0.9736800000000001,0.012416827292025945,0.9561,0.9991199999999999,0.0460102
breast-cancer,200,20,5,15,0.9719200000000001,0.014052530021316467,0.9561,0.99956,0.0629854
breast-cancer,300,6,2,3,0.9736800000000001,0.012416827292025945,0.9561,0.99604,0.019954
breast-cancer,300,6,2,5,0.97194,0.010262475334927764,0.9561,0.9978,0.0326356
breast-cancer,300,6,2,8,0.9737,0.009639917012090956,0.9561,0.9973599999999999,0.0543252
breast-cancer,300,6,2,11,0.97018,0.01626768576042702,0.9474,0.9978,0.0728216
breast-cancer,300,6,2,15,0.97018,0.011936900770300513,0.9561,0.9978,0.0970958
